Cell membrane,Cytoplasm,Endoplasmic reticulum,Extracellular,Golgi apparatus,Lysosome/Vacuole,Membrane,Mitochondrion,Nucleus,Peroxisome,Plastid
,"(0.50927734, 0.58105469, 0.65039062, 0.69921875, 0.68701172) mean: 0.62539062, var: 0.00506414",,,,,,,"(0.52001953, 0.46044922, 0.67089844, 0.60693359, 0.50634766) mean: 0.55292969, var: 0.00572773",,
,,,,,,,,"(0.89501953, 0.81835938, 0.81396484, 0.91601562, 0.90087891) mean: 0.86884766, var: 0.00189939",,
,"(0.82861328, 0.88281250, 0.80859375, 0.82031250, 0.87548828) mean: 0.84316406, var: 0.00090918",,,,,,,"(0.62744141, 0.49096680, 0.72021484, 0.67285156, 0.59521484) mean: 0.62133789, var: 0.00602932",,
,,,,"(0.81054688, 0.77294922, 0.72802734, 0.82421875, 0.75976562) mean: 0.77910156, var: 0.00120893",,"(0.67822266, 0.70605469, 0.59521484, 0.76416016, 0.71582031) mean: 0.69189453, var: 0.00310583",,,,
,,,,,,,,"(0.59472656, 0.69628906, 0.70214844, 0.28564453, 0.70361328) mean: 0.59648437, var: 0.02584539",,
,,,,,,,,"(0.87451172, 0.84765625, 0.82080078, 0.77783203, 0.85205078) mean: 0.83457031, var: 0.00109619",,
,,,,,,,,"(0.74707031, 0.66992188, 0.67529297, 0.75732422, 0.71386719) mean: 0.71269531, var: 0.00128065",,
,,,,,,,"(0.90966797, 0.92138672, 0.88281250, 0.90478516, 0.86816406) mean: 0.89736328, var: 0.00036959",,,
,"(0.51953125, 0.52832031, 0.51123047, 0.50390625, 0.50048828) mean: 0.51269531, var: 0.00010386",,,,,,,"(0.72070312, 0.78417969, 0.69531250, 0.71582031, 0.90185547) mean: 0.76357422, var: 0.00566486",,
,"(0.65380859, 0.61474609, 0.74511719, 0.72558594, 0.60253906) mean: 0.66835937, var: 0.00331701",,,,,,,,,
,,,,,,,,"(0.77441406, 0.85302734, 0.82666016, 0.87548828, 0.82958984) mean: 0.83183594, var: 0.00113674",,
,"(0.61572266, 0.70019531, 0.63134766, 0.79931641, 0.67871094) mean: 0.68505860, var: 0.00420332",,,"(0.74609375, 0.59472656, 0.77050781, 0.79150391, 0.88281250) mean: 0.75712891, var: 0.00873066",,"(0.65234375, 0.59863281, 0.62304688, 0.73974609, 0.50732422) mean: 0.62421875, var: 0.00569159",,,,
,"(0.43969727, 0.55908203, 0.58251953, 0.54199219, 0.75048828) mean: 0.57475586, var: 0.01010042",,,,,,,,,
,"(0.55664062, 0.66503906, 0.53369141, 0.50634766, 0.54296875) mean: 0.56093750, var: 0.00298017",,,,,,,,,
,"(0.74023438, 0.64794922, 0.79003906, 0.76367188, 0.71582031) mean: 0.73154297, var: 0.00235294",,,,,,,,,
,,,,,,,,"(0.78466797, 0.59814453, 0.78955078, 0.77978516, 0.82958984) mean: 0.75634766, var: 0.00656929",,
,,,,,,,,"(0.85498047, 0.87939453, 0.89453125, 0.89404297, 0.92382812) mean: 0.88935547, var: 0.00050360",,
,"(0.59521484, 0.57714844, 0.42749023, 0.55615234, 0.52587891) mean: 0.53637695, var: 0.00349636",,,,,,,"(0.88330078, 0.81298828, 0.81054688, 0.88330078, 0.86572266) mean: 0.85117188, var: 0.00107693",,
,"(0.49560547, 0.50195312, 0.51953125, 0.56982422, 0.59423828) mean: 0.53623047, var: 0.00151953",,,,,,,"(0.67822266, 0.75195312, 0.68994141, 0.70458984, 0.69189453) mean: 0.70332031, var: 0.00066124",,
,"(0.68750000, 0.78027344, 0.73828125, 0.73193359, 0.70166016) mean: 0.72792969, var: 0.00103754",,,,,,,,,
,,,,,,,,"(0.89501953, 0.90039062, 0.90478516, 0.90869141, 0.91748047) mean: 0.90527344, var: 0.00005798",,
,"(0.57177734, 0.69140625, 0.56542969, 0.61962891, 0.65527344) mean: 0.62070313, var: 0.00232882",,,,,,,"(0.80029297, 0.81933594, 0.82031250, 0.86230469, 0.71777344) mean: 0.80400391, var: 0.00226990",,
,,,,,,,,"(0.91259766, 0.94531250, 0.89013672, 0.90283203, 0.91796875) mean: 0.91376953, var: 0.00033842",,
,"(0.71240234, 0.57470703, 0.75292969, 0.49389648, 0.47094727) mean: 0.60097656, var: 0.01291386",,,,,,,,,
,,,,,,,,"(0.63916016, 0.73828125, 0.69287109, 0.70458984, 0.63964844) mean: 0.68291016, var: 0.00148417",,
,,,,,,,,"(0.91259766, 0.86962891, 0.92626953, 0.90771484, 0.94628906) mean: 0.91250000, var: 0.00063843",,
,"(0.58593750, 0.61816406, 0.60937500, 0.73583984, 0.67626953) mean: 0.64511719, var: 0.00294146",,,,,,,"(0.53759766, 0.52685547, 0.59814453, 0.66699219, 0.65722656) mean: 0.59736328, var: 0.00339514",,
,,,,,,,,"(0.90380859, 0.90185547, 0.85937500, 0.94287109, 0.94628906) mean: 0.91083984, var: 0.00101229",,
,"(0.46264648, 0.53613281, 0.44165039, 0.50976562, 0.55273438) mean: 0.50058594, var: 0.00179602",,,,,,,"(0.76562500, 0.50976562, 0.50488281, 0.57714844, 0.66650391) mean: 0.60478516, var: 0.00989033",,
,"(0.46997070, 0.53808594, 0.47827148, 0.58740234, 0.51220703) mean: 0.51718750, var: 0.00182711",,,,,,,"(0.71191406, 0.59082031, 0.59716797, 0.57910156, 0.65527344) mean: 0.62685547, var: 0.00250057",,
,"(0.60205078, 0.60546875, 0.55224609, 0.54638672, 0.48486328) mean: 0.55820312, var: 0.00194210",,,,,"(0.43652344, 0.48413086, 0.47656250, 0.59228516, 0.46850586) mean: 0.49160156, var: 0.00279724",,,,
,"(0.43505859, 0.56835938, 0.57275391, 0.45849609, 0.44702148) mean: 0.49633789, var: 0.00372915",,,,,,,"(0.51171875, 0.45947266, 0.60595703, 0.62304688, 0.57666016) mean: 0.55537110, var: 0.00373884",,
,"(0.52343750, 0.53808594, 0.52343750, 0.54345703, 0.32885742) mean: 0.49145508, var: 0.00667248",,,,,,,,,
,,,,,,,,"(0.93261719, 0.92285156, 0.92382812, 0.95312500, 0.91699219) mean: 0.92988281, var: 0.00015999",,
,,,,,,,"(0.92529297, 0.95703125, 0.93554688, 0.94091797, 0.92578125) mean: 0.93691406, var: 0.00013632",,,
,,,,,,,"(0.95263672, 0.94921875, 0.91357422, 0.91699219, 0.92822266) mean: 0.93212891, var: 0.00026026",,,
,"(0.73437500, 0.71826172, 0.69726562, 0.75292969, 0.78369141) mean: 0.73730469, var: 0.00087404",,,,,,,,,
,"(0.77929688, 0.67333984, 0.67773438, 0.66113281, 0.59228516) mean: 0.67675781, var: 0.00358133",,,,,,,"(0.52929688, 0.58447266, 0.61816406, 0.52734375, 0.43945312) mean: 0.53974609, var: 0.00369431",,
,,,,,,"(0.53320312, 0.58886719, 0.56445312, 0.64453125, 0.60693359) mean: 0.58759765, var: 0.00142227",,,,
,"(0.59130859, 0.69433594, 0.57128906, 0.66552734, 0.67089844) mean: 0.63867187, var: 0.00232840",,,,,,,,,
,,,,,,,"(0.93701172, 0.93652344, 0.88183594, 0.87890625, 0.88330078) mean: 0.90351563, var: 0.00073915",,,
,,,,,,,,"(0.91796875, 0.93701172, 0.94091797, 0.92724609, 0.95996094) mean: 0.93662109, var: 0.00019983",,
,,,,,,,,"(0.76416016, 0.79492188, 0.84765625, 0.67773438, 0.78906250) mean: 0.77470703, var: 0.00309025",,
,,,,,,,,"(0.90429688, 0.89697266, 0.91455078, 0.89941406, 0.88867188) mean: 0.90078125, var: 0.00007299",,
,,,,,,,,"(0.72021484, 0.49169922, 0.50634766, 0.79052734, 0.69873047) mean: 0.64150391, var: 0.01447739",,
,"(0.48559570, 0.51855469, 0.62402344, 0.34057617, 0.46923828) mean: 0.48759766, var: 0.00830534",,,,,,,"(0.91894531, 0.85156250, 0.86376953, 0.90429688, 0.83544922) mean: 0.87480469, var: 0.00100580",,
,"(0.62988281, 0.73437500, 0.65332031, 0.62939453, 0.61962891) mean: 0.65332031, var: 0.00176535",,,,,,,,,
,,,,,,,,"(0.71777344, 0.68261719, 0.83544922, 0.71582031, 0.85791016) mean: 0.76191406, var: 0.00499674",,
"(0.80175781, 0.84960938, 0.76757812, 0.83544922, 0.80712891) mean: 0.81230469, var: 0.00081316",,,,,,"(0.80566406, 0.79931641, 0.77783203, 0.79199219, 0.80566406) mean: 0.79609375, var: 0.00010878",,,,
,,,,,,"(0.52197266, 0.60107422, 0.50585938, 0.62109375, 0.63232422) mean: 0.57646485, var: 0.00273443",,,,
,"(0.64941406, 0.55712891, 0.67089844, 0.50732422, 0.62841797) mean: 0.60263672, var: 0.00373358",,,,,,,"(0.64062500, 0.59619141, 0.58935547, 0.62939453, 0.73242188) mean: 0.63759766, var: 0.00262198",,
,,,,,,,,,"(0.91503906, 0.98193359, 0.86376953, 0.74462891, 0.60058594) mean: 0.82119141, var: 0.01819738",
,"(0.59521484, 0.59814453, 0.38183594, 0.43359375, 0.52880859) mean: 0.50751953, var: 0.00752359",,,,,,,"(0.86474609, 0.79443359, 0.88623047, 0.87158203, 0.84179688) mean: 0.85175781, var: 0.00102707",,
,,,,,,,,"(0.97021484, 0.94482422, 0.91308594, 0.94677734, 0.93066406) mean: 0.94111328, var: 0.00035749",,
,,,"(0.81494141, 0.77392578, 0.85644531, 0.78515625, 0.85400391) mean: 0.81689453, var: 0.00115976",,,,,,,
,"(0.49731445, 0.52441406, 0.52050781, 0.36596680, 0.60693359) mean: 0.50302734, var: 0.00607554",,,,,,,"(0.87646484, 0.86669922, 0.88671875, 0.79052734, 0.94824219) mean: 0.87373047, var: 0.00254007",,
,,,,,,,,"(0.95214844, 0.90332031, 0.89892578, 0.93310547, 0.94335938) mean: 0.92617188, var: 0.00045656",,
,,,,,,,,"(0.91992188, 0.96386719, 0.97412109, 0.95458984, 0.93603516) mean: 0.94970703, var: 0.00037889",,
"(0.90039062, 0.93945312, 0.84716797, 0.93701172, 0.85009766) mean: 0.89482422, var: 0.00161482",,,,,,"(0.91796875, 0.92187500, 0.89843750, 0.91992188, 0.86914062) mean: 0.90546875, var: 0.00040070",,,,
,"(0.64794922, 0.70263672, 0.68847656, 0.82080078, 0.78466797) mean: 0.72890625, var: 0.00408653",,,"(0.69873047, 0.51074219, 0.68554688, 0.60546875, 0.84228516) mean: 0.66855469, var: 0.01205324",,"(0.60986328, 0.57275391, 0.63916016, 0.71777344, 0.50439453) mean: 0.60878906, var: 0.00499958",,,,
,,"(0.66992188, 0.81054688, 0.65771484, 0.67626953, 0.74072266) mean: 0.71103516, var: 0.00330519",,,,,,,,
,"(0.56103516, 0.57714844, 0.55175781, 0.53076172, 0.50781250) mean: 0.54570313, var: 0.00058390",,,,,,,,,
,"(0.67041016, 0.64843750, 0.67626953, 0.76123047, 0.64990234) mean: 0.68125000, var: 0.00171970",,,,,,,,,
"(0.74609375, 0.76708984, 0.78759766, 0.77832031, 0.70312500) mean: 0.75644531, var: 0.00090250",,,,,"(0.48339844, 0.57666016, 0.51806641, 0.65283203, 0.60302734) mean: 0.56679688, var: 0.00362839","(0.70117188, 0.70605469, 0.72119141, 0.68750000, 0.70751953) mean: 0.70468750, var: 0.00011801",,,,
"(0.73632812, 0.74121094, 0.72460938, 0.69824219, 0.73046875) mean: 0.72617188, var: 0.00022606",,,,,,"(0.81054688, 0.79296875, 0.83105469, 0.78271484, 0.84082031) mean: 0.81162109, var: 0.00048298",,,,
,"(0.70068359, 0.70507812, 0.60058594, 0.60449219, 0.65673828) mean: 0.65351562, var: 0.00201975",,,,,,,"(0.68701172, 0.58837891, 0.70507812, 0.54394531, 0.60253906) mean: 0.62539062, var: 0.00373453",,
"(0.67822266, 0.77050781, 0.81933594, 0.76855469, 0.75537109) mean: 0.75839844, var: 0.00208010","(0.66601562, 0.73486328, 0.66650391, 0.70751953, 0.59619141) mean: 0.67421875, var: 0.00220036",,,,,"(0.51220703, 0.52001953, 0.58154297, 0.56933594, 0.58496094) mean: 0.55361328, var: 0.00097059",,,,
,"(0.55322266, 0.63330078, 0.59082031, 0.47338867, 0.50000000) mean: 0.55014648, var: 0.00339698",,,,,,,,,
"(0.82714844, 0.84033203, 0.79785156, 0.79345703, 0.82470703) mean: 0.81669922, var: 0.00032545",,,,,"(0.51123047, 0.63867188, 0.63232422, 0.65234375, 0.73242188) mean: 0.63339844, var: 0.00502371","(0.87353516, 0.89843750, 0.88232422, 0.89892578, 0.89160156) mean: 0.88896484, var: 0.00009562",,,,
,,,,,,,,"(0.91748047, 0.90869141, 0.93261719, 0.91601562, 0.90625000) mean: 0.91621094, var: 0.00008532",,
,"(0.54833984, 0.46435547, 0.46630859, 0.60302734, 0.68750000) mean: 0.55390625, var: 0.00719677",,,,,,,,,
,"(0.58837891, 0.58496094, 0.41210938, 0.55126953, 0.53857422) mean: 0.53505860, var: 0.00414499",,,,,,,"(0.85839844, 0.75683594, 0.78369141, 0.87744141, 0.85107422) mean: 0.82548828, var: 0.00217939",,
,"(0.33813477, 0.47802734, 0.50585938, 0.50830078, 0.58203125) mean: 0.48247070, var: 0.00639583",,,,,,,"(0.63671875, 0.62304688, 0.66650391, 0.65673828, 0.61474609) mean: 0.63955078, var: 0.00038351",,
"(0.77587891, 0.83691406, 0.76660156, 0.80371094, 0.76611328) mean: 0.78984375, var: 0.00074125",,,,,,"(0.71337891, 0.77978516, 0.71630859, 0.75537109, 0.76660156) mean: 0.74628906, var: 0.00071980",,,,
,,,,,,,,"(0.90527344, 0.92285156, 0.91601562, 0.92919922, 0.92675781) mean: 0.92001953, var: 0.00007423",,
,,,,,,,,"(0.83496094, 0.84667969, 0.71142578, 0.86523438, 0.81298828) mean: 0.81425781, var: 0.00293089",,
,"(0.49926758, 0.52197266, 0.49316406, 0.52392578, 0.51660156) mean: 0.51098633, var: 0.00015492",,,,,,,"(0.73486328, 0.75830078, 0.74804688, 0.79638672, 0.80615234) mean: 0.76875000, var: 0.00076977",,
,"(0.46020508, 0.63476562, 0.52001953, 0.49536133, 0.61669922) mean: 0.54541016, var: 0.00469520",,,,,,,"(0.52880859, 0.49169922, 0.54003906, 0.57861328, 0.52929688) mean: 0.53369141, var: 0.00077295",,
"(0.71240234, 0.86621094, 0.83984375, 0.87255859, 0.86328125) mean: 0.83085937, var: 0.00363050",,,,,,"(0.80371094, 0.84375000, 0.83447266, 0.90527344, 0.82177734) mean: 0.84179688, var: 0.00118761",,,,
"(0.81689453, 0.82080078, 0.82226562, 0.82666016, 0.74169922) mean: 0.80566406, var: 0.00103264",,,,,"(0.48950195, 0.61523438, 0.52783203, 0.71923828, 0.60693359) mean: 0.59174805, var: 0.00631510","(0.78906250, 0.76806641, 0.76367188, 0.76562500, 0.75341797) mean: 0.76796875, var: 0.00013613",,,,
,"(0.58789062, 0.64599609, 0.67138672, 0.68066406, 0.59082031) mean: 0.63535156, var: 0.00154013",,,,,,,"(0.75244141, 0.74169922, 0.68554688, 0.69042969, 0.72021484) mean: 0.71806641, var: 0.00071321",,
,,,"(0.86279297, 0.87792969, 0.83691406, 0.88476562, 0.88427734) mean: 0.86933594, var: 0.00032583",,,,,,,
,"(0.61083984, 0.64355469, 0.59033203, 0.75976562, 0.65234375) mean: 0.65136719, var: 0.00343599",,,,,,,,,
,"(0.48144531, 0.45385742, 0.51611328, 0.49365234, 0.51855469) mean: 0.49272461, var: 0.00057059",,,,,,,"(0.92578125, 0.79443359, 0.73388672, 0.77490234, 0.82519531) mean: 0.81083984, var: 0.00418001",,
,"(0.54003906, 0.52685547, 0.58398438, 0.56738281, 0.52246094) mean: 0.54814453, var: 0.00056664",,,,,,,"(0.60302734, 0.61474609, 0.58496094, 0.61279297, 0.65722656) mean: 0.61455078, var: 0.00056654",,
,,,,,,,"(0.93066406, 0.95751953, 0.94287109, 0.94677734, 0.93017578) mean: 0.94160156, var: 0.00010639",,,
,"(0.60546875, 0.71972656, 0.63134766, 0.70898438, 0.66601562) mean: 0.66630859, var: 0.00191971",,,,,,,"(0.58642578, 0.66015625, 0.67041016, 0.66455078, 0.65332031) mean: 0.64697266, var: 0.00094767",,
,,,,,,,,"(0.93945312, 0.96679688, 0.95751953, 0.93457031, 0.97314453) mean: 0.95429687, var: 0.00022627",,
,"(0.50048828, 0.65087891, 0.54785156, 0.48510742, 0.61181641) mean: 0.55922852, var: 0.00404781",,,,,,,"(0.81250000, 0.77929688, 0.81396484, 0.85546875, 0.77978516) mean: 0.80820313, var: 0.00078577",,
,"(0.61425781, 0.54736328, 0.64306641, 0.60595703, 0.63916016) mean: 0.60996094, var: 0.00118031",,,,,,,,,
,,,,,,"(0.71630859, 0.80468750, 0.63330078, 0.72705078, 0.73779297) mean: 0.72382812, var: 0.00299908","(0.84765625, 0.82763672, 0.88769531, 0.93554688, 0.85839844) mean: 0.87138672, var: 0.00140568",,,
,"(0.60791016, 0.51318359, 0.51074219, 0.48657227, 0.49267578) mean: 0.52221680, var: 0.00193996",,,,,,,,,
,"(0.66943359, 0.69531250, 0.77734375, 0.74218750, 0.61376953) mean: 0.69960937, var: 0.00323061",,,,,"(0.37719727, 0.35839844, 0.57617188, 0.45922852, 0.55224609) mean: 0.46464844, var: 0.00781539",,,,
,,,,,,"(0.47143555, 0.49511719, 0.44628906, 0.54150391, 0.44726562) mean: 0.48032227, var: 0.00125841","(0.90673828, 0.91015625, 0.88134766, 0.91406250, 0.87646484) mean: 0.89775391, var: 0.00024458",,,
"(0.73779297, 0.68212891, 0.60888672, 0.76318359, 0.72656250) mean: 0.70371094, var: 0.00293564","(0.59960938, 0.71533203, 0.62353516, 0.59912109, 0.62548828) mean: 0.63261719, var: 0.00183731",,,,,"(0.53417969, 0.44189453, 0.51464844, 0.59570312, 0.61181641) mean: 0.53964844, var: 0.00371222",,,,
,,"(0.66162109, 0.68359375, 0.50585938, 0.77099609, 0.68115234) mean: 0.66064453, var: 0.00741682",,,,"(0.75000000, 0.68945312, 0.64990234, 0.67382812, 0.58789062) mean: 0.67021484, var: 0.00278774",,,,
,"(0.63720703, 0.72021484, 0.67236328, 0.73632812, 0.73144531) mean: 0.69951172, var: 0.00148455",,,,,,,,,
"(0.73535156, 0.67041016, 0.63330078, 0.81201172, 0.69335938) mean: 0.70888672, var: 0.00375399",,,,"(0.66162109, 0.68164062, 0.74462891, 0.82226562, 0.70410156) mean: 0.72285156, var: 0.00323130","(0.59667969, 0.64892578, 0.47412109, 0.69628906, 0.46972656) mean: 0.57714844, var: 0.00837641","(0.72412109, 0.74072266, 0.68847656, 0.84375000, 0.73583984) mean: 0.74658203, var: 0.00269442",,,,
"(0.88183594, 0.90234375, 0.80468750, 0.92333984, 0.88476562) mean: 0.87939453, var: 0.00161476",,,,,,"(0.88525391, 0.91406250, 0.84472656, 0.93017578, 0.92529297) mean: 0.89990234, var: 0.00100412",,,,
,,,,,,,"(0.97314453, 0.97802734, 0.95751953, 0.97949219, 0.97607422) mean: 0.97285156, var: 0.00006329",,,
,"(0.70947266, 0.81250000, 0.75390625, 0.75000000, 0.74169922) mean: 0.75351563, var: 0.00111422",,,,,,,,,
"(0.89697266, 0.91406250, 0.81445312, 0.91699219, 0.88037109) mean: 0.88457031, var: 0.00140177",,,,,,"(0.87597656, 0.88623047, 0.79589844, 0.89746094, 0.89843750) mean: 0.87080078, var: 0.00146996",,,,
,,,,,,,,"(0.83837891, 0.87255859, 0.91259766, 0.91406250, 0.77929688) mean: 0.86337891, var: 0.00255407",,
,"(0.53662109, 0.57128906, 0.52734375, 0.49316406, 0.60009766) mean: 0.54570312, var: 0.00135866",,,,,,,"(0.87646484, 0.73828125, 0.72900391, 0.68310547, 0.86328125) mean: 0.77802734, var: 0.00599028",,
,,,,,,,,"(0.97802734, 0.97216797, 0.96484375, 0.95458984, 0.98535156) mean: 0.97099609, var: 0.00011278",,
,"(0.47534180, 0.63623047, 0.53564453, 0.50976562, 0.54345703) mean: 0.54008789, var: 0.00287720",,,,,,,"(0.80712891, 0.79150391, 0.77392578, 0.85888672, 0.74560547) mean: 0.79541016, var: 0.00142479",,
,,,,,,,,"(0.88623047, 0.93115234, 0.92431641, 0.84179688, 0.84814453) mean: 0.88632813, var: 0.00137867",,
,"(0.62402344, 0.60009766, 0.61132812, 0.59130859, 0.56738281) mean: 0.59882812, var: 0.00036760",,,,,"(0.58398438, 0.59521484, 0.57714844, 0.55957031, 0.52001953) mean: 0.56718750, var: 0.00068995",,,,
,,,,,,,"(0.94091797, 0.94384766, 0.89648438, 0.94042969, 0.92822266) mean: 0.92998047, var: 0.00030924",,,
,"(0.64794922, 0.64550781, 0.65234375, 0.63330078, 0.65283203) mean: 0.64638672, var: 0.00005030",,,,,,,,,
,,,,,,"(0.79980469, 0.77294922, 0.77099609, 0.77343750, 0.83886719) mean: 0.79121094, var: 0.00068060",,,,
,"(0.48583984, 0.62597656, 0.54882812, 0.49511719, 0.61865234) mean: 0.55488281, var: 0.00349928",,,,,,,"(0.81103516, 0.77685547, 0.81054688, 0.83593750, 0.80322266) mean: 0.80751953, var: 0.00035757",,
,,,,"(0.65136719, 0.71337891, 0.60888672, 0.77929688, 0.67919922) mean: 0.68642578, var: 0.00332903",,"(0.59814453, 0.66357422, 0.54492188, 0.64208984, 0.67871094) mean: 0.62548828, var: 0.00235949",,,,
,"(0.56054688, 0.77050781, 0.59179688, 0.67871094, 0.60986328) mean: 0.64228516, var: 0.00560986",,,,,,,,,
,"(0.58056641, 0.73486328, 0.63818359, 0.75195312, 0.70019531) mean: 0.68115234, var: 0.00404482",,,,,,,"(0.85205078, 0.81152344, 0.77197266, 0.72998047, 0.68750000) mean: 0.77060547, var: 0.00337328",,
,,,,,,,,"(0.83496094, 0.85742188, 0.89941406, 0.89648438, 0.77050781) mean: 0.85175781, var: 0.00223747",,
,"(0.68066406, 0.60302734, 0.64013672, 0.74658203, 0.79492188) mean: 0.69306641, var: 0.00486017",,,,,,,,,
,"(0.57373047, 0.54736328, 0.56152344, 0.71337891, 0.66601562) mean: 0.61240234, var: 0.00427698",,,,,,,,"(0.95898438, 0.89453125, 0.85009766, 0.93164062, 0.86376953) mean: 0.89980469, var: 0.00166258",
,"(0.47412109, 0.45458984, 0.37426758, 0.56152344, 0.53369141) mean: 0.47963867, var: 0.00427755",,,,,,,,,
,"(0.57617188, 0.53466797, 0.56542969, 0.40771484, 0.50146484) mean: 0.51708984, var: 0.00366869",,,,,,,"(0.60205078, 0.59130859, 0.55468750, 0.42480469, 0.61914062) mean: 0.55839844, var: 0.00490786",,
"(0.60546875, 0.50732422, 0.63525391, 0.75097656, 0.51562500) mean: 0.60292969, var: 0.00794634",,,,,,"(0.64501953, 0.67578125, 0.68652344, 0.79101562, 0.64794922) mean: 0.68925781, var: 0.00284143",,,,
,,,"(0.87890625, 0.84667969, 0.89892578, 0.89501953, 0.92187500) mean: 0.88828125, var: 0.00062117",,,,,,,
,,,,,,"(0.88281250, 0.89599609, 0.89111328, 0.93652344, 0.91210938) mean: 0.90371094, var: 0.00036043","(0.92431641, 0.92041016, 0.89501953, 0.94433594, 0.91064453) mean: 0.91894531, var: 0.00026340",,,
,"(0.58789062, 0.59228516, 0.63378906, 0.64355469, 0.71582031) mean: 0.63466797, var: 0.00212997",,,,,,,"(0.51611328, 0.56250000, 0.57031250, 0.56250000, 0.45874023) mean: 0.53403320, var: 0.00178541",,
,"(0.45581055, 0.51318359, 0.54687500, 0.55859375, 0.50097656) mean: 0.51508789, var: 0.00132395",,,,,,,"(0.63378906, 0.65283203, 0.65234375, 0.68408203, 0.69921875) mean: 0.66445312, var: 0.00056318",,
,,,"(0.81542969, 0.72949219, 0.81201172, 0.82031250, 0.79833984) mean: 0.79511719, var: 0.00112997",,,,,,,
,,,,,,,"(0.84472656, 0.91796875, 0.86425781, 0.90332031, 0.88623047) mean: 0.88330078, var: 0.00069237",,,
,,,,,,,,,,
,,,,,,,"(0.92871094, 0.96044922, 0.94238281, 0.94726562, 0.93164062) mean: 0.94208984, var: 0.00013042",,,
,,,,,,,,"(0.85644531, 0.76513672, 0.80029297, 0.95263672, 0.87011719) mean: 0.84892578, var: 0.00412947",,
,"(0.67626953, 0.66064453, 0.56982422, 0.82568359, 0.54541016) mean: 0.65556641, var: 0.00977608",,,,,,,,,
,"(0.56738281, 0.56640625, 0.40112305, 0.81591797, 0.72021484) mean: 0.61420898, var: 0.02036143",,,,,,,,,
,,,"(0.68554688, 0.82958984, 0.69042969, 0.70361328, 0.63085938) mean: 0.70800781, var: 0.00431337",,,,,,,
,"(0.57470703, 0.63769531, 0.58837891, 0.69287109, 0.55957031) mean: 0.61064453, var: 0.00237776",,,,,,,"(0.58056641, 0.50439453, 0.58300781, 0.51464844, 0.50488281) mean: 0.53750000, var: 0.00132154",,
,,,,,,,,"(0.84277344, 0.80371094, 0.80029297, 0.92089844, 0.87353516) mean: 0.84824219, var: 0.00204615",,
,"(0.64794922, 0.78662109, 0.75634766, 0.73730469, 0.74023438) mean: 0.73369141, var: 0.00214449",,,,,,,"(0.59130859, 0.58349609, 0.55468750, 0.66748047, 0.47485352) mean: 0.57436523, var: 0.00386614",,
,,,"(0.61523438, 0.58300781, 0.73779297, 0.71386719, 0.69238281) mean: 0.66845703, var: 0.00351524",,,,,,,
,"(0.72167969, 0.58154297, 0.68212891, 0.68847656, 0.71435547) mean: 0.67763672, var: 0.00253195",,,"(0.73974609, 0.80566406, 0.56152344, 0.63378906, 0.73681641) mean: 0.69550781, var: 0.00751177",,"(0.55859375, 0.73339844, 0.65234375, 0.50585938, 0.61914062) mean: 0.61386719, var: 0.00610336","(0.61816406, 0.78613281, 0.82421875, 0.82519531, 0.47607422) mean: 0.70595703, var: 0.01903709",,,
,,,"(0.80126953, 0.83691406, 0.85009766, 0.81542969, 0.84179688) mean: 0.82910156, var: 0.00032492",,,,,,,
,,,,,,,,"(0.92480469, 0.95312500, 0.88818359, 0.85888672, 0.86425781) mean: 0.89785156, var: 0.00130438",,
,"(0.45678711, 0.45727539, 0.46923828, 0.43969727, 0.55517578) mean: 0.47563477, var: 0.00167030",,,,,,,"(0.69384766, 0.68798828, 0.70898438, 0.65234375, 0.69238281) mean: 0.68710938, var: 0.00035223",,
,,,,,,,,"(0.91748047, 0.91894531, 0.92773438, 0.88916016, 0.80908203) mean: 0.89248047, var: 0.00190691",,
"(0.66845703, 0.72070312, 0.66455078, 0.67089844, 0.75292969) mean: 0.69550781, var: 0.00124556",,,,,"(0.65283203, 0.68359375, 0.61621094, 0.64746094, 0.61572266) mean: 0.64316406, var: 0.00064520","(0.80029297, 0.81103516, 0.78027344, 0.78417969, 0.79052734) mean: 0.79326172, var: 0.00012480",,,,
,,,,,,,,"(0.89111328, 0.91455078, 0.88037109, 0.91015625, 0.90332031) mean: 0.89990234, var: 0.00015802",,
,,,,,,,"(0.91406250, 0.93408203, 0.90185547, 0.93212891, 0.94775391) mean: 0.92597656, var: 0.00026031",,,
,,,,,,,,"(0.83789062, 0.80224609, 0.83691406, 0.88134766, 0.87451172) mean: 0.84658203, var: 0.00082468",,
,"(0.42651367, 0.50244141, 0.50732422, 0.52929688, 0.50683594) mean: 0.49448242, var: 0.00124253",,,,,,,,,
,,,,,,"(0.79638672, 0.84375000, 0.84472656, 0.87304688, 0.80078125) mean: 0.83173828, var: 0.00084549","(0.85449219, 0.85400391, 0.84375000, 0.86767578, 0.80810547) mean: 0.84560547, var: 0.00040926",,,
,"(0.54931641, 0.50488281, 0.38867188, 0.45214844, 0.46215820) mean: 0.47143555, var: 0.00289841",,,,,,,"(0.85107422, 0.76660156, 0.85498047, 0.86279297, 0.75781250) mean: 0.81865234, var: 0.00214602",,
,"(0.62207031, 0.64355469, 0.51904297, 0.56396484, 0.45532227) mean: 0.56079102, var: 0.00469632",,,,,,,"(0.34179688, 0.66210938, 0.71484375, 0.60009766, 0.65820312) mean: 0.59541016, var: 0.01739956",,
