Cell membrane,Cytoplasm,Endoplasmic reticulum,Extracellular,Golgi apparatus,Lysosome/Vacuole,Membrane,Mitochondrion,Nucleus,Peroxisome,Plastid,predicted_label,true_label
,"(0.58789062, 0.64599609, 0.67138672, 0.68066406, 0.59082031) mean: 0.63535156, var: 0.00154013",,,,,,,"(0.75244141, 0.74169922, 0.68554688, 0.69042969, 0.72021484) mean: 0.71806641, var: 0.00071321",,,"Cytoplasm, Nucleus","Cytoplasm, Nucleus"
,,,"(0.86279297, 0.87792969, 0.83691406, 0.88476562, 0.88427734) mean: 0.86933594, var: 0.00032583",,,,,,,,Extracellular,Cell membrane
,"(0.61083984, 0.64355469, 0.59033203, 0.75976562, 0.65234375) mean: 0.65136719, var: 0.00343599",,,,,,,,,,Cytoplasm,"Nucleus, Golgi apparatus"
,"(0.48144531, 0.45385742, 0.51611328, 0.49365234, 0.51855469) mean: 0.49272461, var: 0.00057059",,,,,,,"(0.92578125, 0.79443359, 0.73388672, 0.77490234, 0.82519531) mean: 0.81083984, var: 0.00418001",,,"Cytoplasm, Nucleus",Nucleus
,"(0.54003906, 0.52685547, 0.58398438, 0.56738281, 0.52246094) mean: 0.54814453, var: 0.00056664",,,,,,,"(0.60302734, 0.61474609, 0.58496094, 0.61279297, 0.65722656) mean: 0.61455078, var: 0.00056654",,,"Cytoplasm, Nucleus",Nucleus
,,,,,,,"(0.93066406, 0.95751953, 0.94287109, 0.94677734, 0.93017578) mean: 0.94160156, var: 0.00010639",,,,Mitochondrion,Mitochondrion
,"(0.60546875, 0.71972656, 0.63134766, 0.70898438, 0.66601562) mean: 0.66630859, var: 0.00191971",,,,,,,"(0.58642578, 0.66015625, 0.67041016, 0.66455078, 0.65332031) mean: 0.64697266, var: 0.00094767",,,"Cytoplasm, Nucleus","Cytoplasm, Nucleus, Cell membrane"
,,,,,,,,"(0.93945312, 0.96679688, 0.95751953, 0.93457031, 0.97314453) mean: 0.95429687, var: 0.00022627",,,Nucleus,Nucleus
,"(0.50048828, 0.65087891, 0.54785156, 0.48510742, 0.61181641) mean: 0.55922852, var: 0.00404781",,,,,,,"(0.81250000, 0.77929688, 0.81396484, 0.85546875, 0.77978516) mean: 0.80820313, var: 0.00078577",,,"Cytoplasm, Nucleus",Nucleus
,"(0.61425781, 0.54736328, 0.64306641, 0.60595703, 0.63916016) mean: 0.60996094, var: 0.00118031",,,,,,,,,,Cytoplasm,Cytoplasm
,,,,,,"(0.71630859, 0.80468750, 0.63330078, 0.72705078, 0.73779297) mean: 0.72382812, var: 0.00299908","(0.84765625, 0.82763672, 0.88769531, 0.93554688, 0.85839844) mean: 0.87138672, var: 0.00140568",,,,"Membrane, Mitochondrion",Mitochondrion
,"(0.60791016, 0.51318359, 0.51074219, 0.48657227, 0.49267578) mean: 0.52221680, var: 0.00193996",,,,,,,,,,Cytoplasm,Nucleus
,"(0.66943359, 0.69531250, 0.77734375, 0.74218750, 0.61376953) mean: 0.69960937, var: 0.00323061",,,,,"(0.37719727, 0.35839844, 0.57617188, 0.45922852, 0.55224609) mean: 0.46464844, var: 0.00781539",,,,,"Membrane, Cytoplasm",Cytoplasm
,,,,,,"(0.47143555, 0.49511719, 0.44628906, 0.54150391, 0.44726562) mean: 0.48032227, var: 0.00125841","(0.90673828, 0.91015625, 0.88134766, 0.91406250, 0.87646484) mean: 0.89775391, var: 0.00024458",,,,"Membrane, Mitochondrion",Mitochondrion
"(0.73779297, 0.68212891, 0.60888672, 0.76318359, 0.72656250) mean: 0.70371094, var: 0.00293564","(0.59960938, 0.71533203, 0.62353516, 0.59912109, 0.62548828) mean: 0.63261719, var: 0.00183731",,,,,"(0.53417969, 0.44189453, 0.51464844, 0.59570312, 0.61181641) mean: 0.53964844, var: 0.00371222",,,,,"Membrane, Cytoplasm, Cell membrane",Cytoplasm
,,"(0.66162109, 0.68359375, 0.50585938, 0.77099609, 0.68115234) mean: 0.66064453, var: 0.00741682",,,,"(0.75000000, 0.68945312, 0.64990234, 0.67382812, 0.58789062) mean: 0.67021484, var: 0.00278774",,,,,"Membrane, Endoplasmic reticulum",Cytoplasm
,"(0.63720703, 0.72021484, 0.67236328, 0.73632812, 0.73144531) mean: 0.69951172, var: 0.00148455",,,,,,,,,,Cytoplasm,Cytoplasm
"(0.73535156, 0.67041016, 0.63330078, 0.81201172, 0.69335938) mean: 0.70888672, var: 0.00375399",,,,"(0.66162109, 0.68164062, 0.74462891, 0.82226562, 0.70410156) mean: 0.72285156, var: 0.00323130","(0.59667969, 0.64892578, 0.47412109, 0.69628906, 0.46972656) mean: 0.57714844, var: 0.00837641","(0.72412109, 0.74072266, 0.68847656, 0.84375000, 0.73583984) mean: 0.74658203, var: 0.00269442",,,,,"Membrane, Cell membrane, Lysosome/Vacuole, Golgi apparatus",Cell membrane
"(0.88183594, 0.90234375, 0.80468750, 0.92333984, 0.88476562) mean: 0.87939453, var: 0.00161476",,,,,,"(0.88525391, 0.91406250, 0.84472656, 0.93017578, 0.92529297) mean: 0.89990234, var: 0.00100412",,,,,"Membrane, Cell membrane",Cell membrane
,,,,,,,"(0.97314453, 0.97802734, 0.95751953, 0.97949219, 0.97607422) mean: 0.97285156, var: 0.00006329",,,,Mitochondrion,Mitochondrion
,"(0.70947266, 0.81250000, 0.75390625, 0.75000000, 0.74169922) mean: 0.75351563, var: 0.00111422",,,,,,,,,,Cytoplasm,"Cytoplasm, Nucleus"
"(0.89697266, 0.91406250, 0.81445312, 0.91699219, 0.88037109) mean: 0.88457031, var: 0.00140177",,,,,,"(0.87597656, 0.88623047, 0.79589844, 0.89746094, 0.89843750) mean: 0.87080078, var: 0.00146996",,,,,"Membrane, Cell membrane",Cell membrane
,,,,,,,,"(0.83837891, 0.87255859, 0.91259766, 0.91406250, 0.77929688) mean: 0.86337891, var: 0.00255407",,,Nucleus,Nucleus
,"(0.53662109, 0.57128906, 0.52734375, 0.49316406, 0.60009766) mean: 0.54570312, var: 0.00135866",,,,,,,"(0.87646484, 0.73828125, 0.72900391, 0.68310547, 0.86328125) mean: 0.77802734, var: 0.00599028",,,"Cytoplasm, Nucleus",Nucleus
,,,,,,,,"(0.97802734, 0.97216797, 0.96484375, 0.95458984, 0.98535156) mean: 0.97099609, var: 0.00011278",,,Nucleus,Nucleus
,"(0.47534180, 0.63623047, 0.53564453, 0.50976562, 0.54345703) mean: 0.54008789, var: 0.00287720",,,,,,,"(0.80712891, 0.79150391, 0.77392578, 0.85888672, 0.74560547) mean: 0.79541016, var: 0.00142479",,,"Cytoplasm, Nucleus",Nucleus
,,,,,,,,"(0.88623047, 0.93115234, 0.92431641, 0.84179688, 0.84814453) mean: 0.88632813, var: 0.00137867",,,Nucleus,Nucleus
,"(0.62402344, 0.60009766, 0.61132812, 0.59130859, 0.56738281) mean: 0.59882812, var: 0.00036760",,,,,"(0.58398438, 0.59521484, 0.57714844, 0.55957031, 0.52001953) mean: 0.56718750, var: 0.00068995",,,,,"Membrane, Cytoplasm","Nucleus, Mitochondrion"
,,,,,,,"(0.94091797, 0.94384766, 0.89648438, 0.94042969, 0.92822266) mean: 0.92998047, var: 0.00030924",,,,Mitochondrion,Mitochondrion
,"(0.64794922, 0.64550781, 0.65234375, 0.63330078, 0.65283203) mean: 0.64638672, var: 0.00005030",,,,,,,,,,Cytoplasm,Nucleus
,,,,,,"(0.79980469, 0.77294922, 0.77099609, 0.77343750, 0.83886719) mean: 0.79121094, var: 0.00068060",,,,,Membrane,Endoplasmic reticulum
,"(0.48583984, 0.62597656, 0.54882812, 0.49511719, 0.61865234) mean: 0.55488281, var: 0.00349928",,,,,,,"(0.81103516, 0.77685547, 0.81054688, 0.83593750, 0.80322266) mean: 0.80751953, var: 0.00035757",,,"Cytoplasm, Nucleus",Nucleus
,,,,"(0.65136719, 0.71337891, 0.60888672, 0.77929688, 0.67919922) mean: 0.68642578, var: 0.00332903",,"(0.59814453, 0.66357422, 0.54492188, 0.64208984, 0.67871094) mean: 0.62548828, var: 0.00235949",,,,,"Membrane, Golgi apparatus",Nucleus
,"(0.56054688, 0.77050781, 0.59179688, 0.67871094, 0.60986328) mean: 0.64228516, var: 0.00560986",,,,,,,,,,Cytoplasm,Nucleus
,"(0.58056641, 0.73486328, 0.63818359, 0.75195312, 0.70019531) mean: 0.68115234, var: 0.00404482",,,,,,,"(0.85205078, 0.81152344, 0.77197266, 0.72998047, 0.68750000) mean: 0.77060547, var: 0.00337328",,,"Cytoplasm, Nucleus",Nucleus
,,,,,,,,"(0.83496094, 0.85742188, 0.89941406, 0.89648438, 0.77050781) mean: 0.85175781, var: 0.00223747",,,Nucleus,Nucleus
,"(0.68066406, 0.60302734, 0.64013672, 0.74658203, 0.79492188) mean: 0.69306641, var: 0.00486017",,,,,,,,,,Cytoplasm,Nucleus
,"(0.57373047, 0.54736328, 0.56152344, 0.71337891, 0.66601562) mean: 0.61240234, var: 0.00427698",,,,,,,,"(0.95898438, 0.89453125, 0.85009766, 0.93164062, 0.86376953) mean: 0.89980469, var: 0.00166258",,"Cytoplasm, Peroxisome",Nucleus
,"(0.47412109, 0.45458984, 0.37426758, 0.56152344, 0.53369141) mean: 0.47963867, var: 0.00427755",,,,,,,,,,Cytoplasm,"Cytoplasm, Nucleus"
,"(0.57617188, 0.53466797, 0.56542969, 0.40771484, 0.50146484) mean: 0.51708984, var: 0.00366869",,,,,,,"(0.60205078, 0.59130859, 0.55468750, 0.42480469, 0.61914062) mean: 0.55839844, var: 0.00490786",,,"Cytoplasm, Nucleus",Nucleus
"(0.60546875, 0.50732422, 0.63525391, 0.75097656, 0.51562500) mean: 0.60292969, var: 0.00794634",,,,,,"(0.64501953, 0.67578125, 0.68652344, 0.79101562, 0.64794922) mean: 0.68925781, var: 0.00284143",,,,,"Membrane, Cell membrane",Golgi apparatus
,,,"(0.87890625, 0.84667969, 0.89892578, 0.89501953, 0.92187500) mean: 0.88828125, var: 0.00062117",,,,,,,,Extracellular,"Cytoplasm, Cell membrane"
,,,,,,"(0.88281250, 0.89599609, 0.89111328, 0.93652344, 0.91210938) mean: 0.90371094, var: 0.00036043","(0.92431641, 0.92041016, 0.89501953, 0.94433594, 0.91064453) mean: 0.91894531, var: 0.00026340",,,,"Membrane, Mitochondrion",Mitochondrion
,"(0.58789062, 0.59228516, 0.63378906, 0.64355469, 0.71582031) mean: 0.63466797, var: 0.00212997",,,,,,,"(0.51611328, 0.56250000, 0.57031250, 0.56250000, 0.45874023) mean: 0.53403320, var: 0.00178541",,,"Cytoplasm, Nucleus",Mitochondrion
,"(0.45581055, 0.51318359, 0.54687500, 0.55859375, 0.50097656) mean: 0.51508789, var: 0.00132395",,,,,,,"(0.63378906, 0.65283203, 0.65234375, 0.68408203, 0.69921875) mean: 0.66445312, var: 0.00056318",,,"Cytoplasm, Nucleus",Cytoplasm
,,,"(0.81542969, 0.72949219, 0.81201172, 0.82031250, 0.79833984) mean: 0.79511719, var: 0.00112997",,,,,,,,Extracellular,"Endoplasmic reticulum, Golgi apparatus"
,,,,,,,"(0.84472656, 0.91796875, 0.86425781, 0.90332031, 0.88623047) mean: 0.88330078, var: 0.00069237",,,,Mitochondrion,Mitochondrion
,,,,,,,,,,,nan,Nucleus
,,,,,,,"(0.92871094, 0.96044922, 0.94238281, 0.94726562, 0.93164062) mean: 0.94208984, var: 0.00013042",,,,Mitochondrion,Mitochondrion
,,,,,,,,"(0.85644531, 0.76513672, 0.80029297, 0.95263672, 0.87011719) mean: 0.84892578, var: 0.00412947",,,Nucleus,Nucleus
,"(0.67626953, 0.66064453, 0.56982422, 0.82568359, 0.54541016) mean: 0.65556641, var: 0.00977608",,,,,,,,,,Cytoplasm,Cytoplasm
,"(0.56738281, 0.56640625, 0.40112305, 0.81591797, 0.72021484) mean: 0.61420898, var: 0.02036143",,,,,,,,,,Cytoplasm,Nucleus
,,,"(0.68554688, 0.82958984, 0.69042969, 0.70361328, 0.63085938) mean: 0.70800781, var: 0.00431337",,,,,,,,Extracellular,Cell membrane
,"(0.57470703, 0.63769531, 0.58837891, 0.69287109, 0.55957031) mean: 0.61064453, var: 0.00237776",,,,,,,"(0.58056641, 0.50439453, 0.58300781, 0.51464844, 0.50488281) mean: 0.53750000, var: 0.00132154",,,"Cytoplasm, Nucleus","Cytoplasm, Nucleus"
,,,,,,,,"(0.84277344, 0.80371094, 0.80029297, 0.92089844, 0.87353516) mean: 0.84824219, var: 0.00204615",,,Nucleus,Nucleus
,"(0.64794922, 0.78662109, 0.75634766, 0.73730469, 0.74023438) mean: 0.73369141, var: 0.00214449",,,,,,,"(0.59130859, 0.58349609, 0.55468750, 0.66748047, 0.47485352) mean: 0.57436523, var: 0.00386614",,,"Cytoplasm, Nucleus",Cytoplasm
,,,"(0.61523438, 0.58300781, 0.73779297, 0.71386719, 0.69238281) mean: 0.66845703, var: 0.00351524",,,,,,,,Extracellular,Golgi apparatus
,"(0.72167969, 0.58154297, 0.68212891, 0.68847656, 0.71435547) mean: 0.67763672, var: 0.00253195",,,"(0.73974609, 0.80566406, 0.56152344, 0.63378906, 0.73681641) mean: 0.69550781, var: 0.00751177",,"(0.55859375, 0.73339844, 0.65234375, 0.50585938, 0.61914062) mean: 0.61386719, var: 0.00610336","(0.61816406, 0.78613281, 0.82421875, 0.82519531, 0.47607422) mean: 0.70595703, var: 0.01903709",,,,"Membrane, Cytoplasm, Mitochondrion, Golgi apparatus",Cytoplasm
,,,"(0.80126953, 0.83691406, 0.85009766, 0.81542969, 0.84179688) mean: 0.82910156, var: 0.00032492",,,,,,,,Extracellular,Nucleus
,,,,,,,,"(0.92480469, 0.95312500, 0.88818359, 0.85888672, 0.86425781) mean: 0.89785156, var: 0.00130438",,,Nucleus,Nucleus
,"(0.45678711, 0.45727539, 0.46923828, 0.43969727, 0.55517578) mean: 0.47563477, var: 0.00167030",,,,,,,"(0.69384766, 0.68798828, 0.70898438, 0.65234375, 0.69238281) mean: 0.68710938, var: 0.00035223",,,"Cytoplasm, Nucleus",Cytoplasm
,,,,,,,,"(0.91748047, 0.91894531, 0.92773438, 0.88916016, 0.80908203) mean: 0.89248047, var: 0.00190691",,,Nucleus,Nucleus
"(0.66845703, 0.72070312, 0.66455078, 0.67089844, 0.75292969) mean: 0.69550781, var: 0.00124556",,,,,"(0.65283203, 0.68359375, 0.61621094, 0.64746094, 0.61572266) mean: 0.64316406, var: 0.00064520","(0.80029297, 0.81103516, 0.78027344, 0.78417969, 0.79052734) mean: 0.79326172, var: 0.00012480",,,,,"Membrane, Cell membrane, Lysosome/Vacuole","Endoplasmic reticulum, Golgi apparatus"
,,,,,,,,"(0.89111328, 0.91455078, 0.88037109, 0.91015625, 0.90332031) mean: 0.89990234, var: 0.00015802",,,Nucleus,"Cytoplasm, Nucleus"
,,,,,,,"(0.91406250, 0.93408203, 0.90185547, 0.93212891, 0.94775391) mean: 0.92597656, var: 0.00026031",,,,Mitochondrion,Mitochondrion
,,,,,,,,"(0.83789062, 0.80224609, 0.83691406, 0.88134766, 0.87451172) mean: 0.84658203, var: 0.00082468",,,Nucleus,Nucleus
,"(0.42651367, 0.50244141, 0.50732422, 0.52929688, 0.50683594) mean: 0.49448242, var: 0.00124253",,,,,,,,,,Cytoplasm,"Cytoplasm, Nucleus"
,,,,,,"(0.79638672, 0.84375000, 0.84472656, 0.87304688, 0.80078125) mean: 0.83173828, var: 0.00084549","(0.85449219, 0.85400391, 0.84375000, 0.86767578, 0.80810547) mean: 0.84560547, var: 0.00040926",,,,"Membrane, Mitochondrion",Mitochondrion
,"(0.54931641, 0.50488281, 0.38867188, 0.45214844, 0.46215820) mean: 0.47143555, var: 0.00289841",,,,,,,"(0.85107422, 0.76660156, 0.85498047, 0.86279297, 0.75781250) mean: 0.81865234, var: 0.00214602",,,"Cytoplasm, Nucleus",Nucleus
,"(0.62207031, 0.64355469, 0.51904297, 0.56396484, 0.45532227) mean: 0.56079102, var: 0.00469632",,,,,,,"(0.34179688, 0.66210938, 0.71484375, 0.60009766, 0.65820312) mean: 0.59541016, var: 0.01739956",,,"Cytoplasm, Nucleus",Nucleus
,"(0.56835938, 0.57470703, 0.63964844, 0.60546875, 0.60058594) mean: 0.59775391, var: 0.00064358",,,,,,,"(0.67382812, 0.68408203, 0.66259766, 0.65039062, 0.61328125) mean: 0.65683594, var: 0.00060057",,,"Cytoplasm, Nucleus",Nucleus
,,,,,,,,"(0.68554688, 0.62451172, 0.62841797, 0.66894531, 0.67138672) mean: 0.65576172, var: 0.00060587",,,Nucleus,Cell membrane
,"(0.64550781, 0.67333984, 0.69433594, 0.65039062, 0.62646484) mean: 0.65800781, var: 0.00055281",,,,,"(0.51855469, 0.39599609, 0.41479492, 0.54052734, 0.42651367) mean: 0.45927734, var: 0.00343441",,,,,"Membrane, Cytoplasm",Nucleus
,"(0.55224609, 0.46533203, 0.55859375, 0.64990234, 0.63964844) mean: 0.57314453, var: 0.00451731",,,,,,,"(0.55224609, 0.56298828, 0.63769531, 0.56250000, 0.81835938) mean: 0.62675781, var: 0.01011568",,,"Cytoplasm, Nucleus",Nucleus
,"(0.69677734, 0.64355469, 0.71630859, 0.77685547, 0.69824219) mean: 0.70634766, var: 0.00183416",,,,,,,,,,Cytoplasm,Cytoplasm
,"(0.59960938, 0.64355469, 0.63818359, 0.57958984, 0.55322266) mean: 0.60283203, var: 0.00118395",,,,,,,"(0.51806641, 0.54296875, 0.58837891, 0.39721680, 0.62548828) mean: 0.53442383, var: 0.00607405",,,"Cytoplasm, Nucleus","Cytoplasm, Cell membrane"
"(0.57470703, 0.46606445, 0.52490234, 0.82275391, 0.57031250) mean: 0.59174805, var: 0.01487566","(0.84960938, 0.88085938, 0.75585938, 0.85107422, 0.78906250) mean: 0.82529297, var: 0.00209545",,,,,"(0.55664062, 0.55224609, 0.34497070, 0.62988281, 0.54101562) mean: 0.52495117, var: 0.00908218",,,,,"Membrane, Cytoplasm, Cell membrane",Cytoplasm
,,,,,,,,"(0.84814453, 0.81835938, 0.86572266, 0.85839844, 0.83447266) mean: 0.84501953, var: 0.00028788",,,Nucleus,Nucleus
,,,,,,,,"(0.97119141, 0.96875000, 0.97167969, 0.96191406, 0.97363281) mean: 0.96943359, var: 0.00001656",,,Nucleus,Nucleus
,,"(0.75244141, 0.83691406, 0.57128906, 0.66894531, 0.75537109) mean: 0.71699219, var: 0.00812975",,,,,,,"(0.87890625, 0.96923828, 0.74511719, 0.65917969, 0.48559570) mean: 0.74760742, var: 0.02856709",,"Endoplasmic reticulum, Peroxisome",Cytoplasm
,,"(0.71875000, 0.79638672, 0.78857422, 0.77685547, 0.87988281) mean: 0.79208984, var: 0.00266985",,,,"(0.80664062, 0.84863281, 0.88818359, 0.80957031, 0.82031250) mean: 0.83466797, var: 0.00093609",,,,,"Membrane, Endoplasmic reticulum","Nucleus, Endoplasmic reticulum"
,"(0.67382812, 0.72412109, 0.72021484, 0.75195312, 0.73291016) mean: 0.72060547, var: 0.00066694",,,,,,,"(0.47607422, 0.45385742, 0.63037109, 0.57714844, 0.55908203) mean: 0.53930664, var: 0.00428314",,,"Cytoplasm, Nucleus",Cell membrane
,"(0.47485352, 0.52490234, 0.59130859, 0.36523438, 0.62255859) mean: 0.51577148, var: 0.00830568",,,,,,,,,,Cytoplasm,Cytoplasm
,,,,,,,,"(0.93261719, 0.94873047, 0.89160156, 0.92382812, 0.91552734) mean: 0.92246094, var: 0.00035910",,,Nucleus,Nucleus
,,,,,,,"(0.95556641, 0.97167969, 0.95117188, 0.97216797, 0.95361328) mean: 0.96083985, var: 0.00008387",,,,Mitochondrion,"Nucleus, Mitochondrion"
,"(0.80908203, 0.79687500, 0.69775391, 0.86669922, 0.81298828) mean: 0.79667969, var: 0.00302177",,,,,,,,,,Cytoplasm,Nucleus
,"(0.65917969, 0.67529297, 0.69531250, 0.63769531, 0.69042969) mean: 0.67158203, var: 0.00044685",,,,,,,,,,Cytoplasm,"Cytoplasm, Nucleus"
"(0.89160156, 0.86816406, 0.85107422, 0.90039062, 0.80566406) mean: 0.86337890, var: 0.00113434",,,,,,"(0.83837891, 0.81982422, 0.83691406, 0.83496094, 0.79687500) mean: 0.82539063, var: 0.00024744",,,,,"Membrane, Cell membrane",Cell membrane
,,,,,,,,"(0.95996094, 0.97119141, 0.97656250, 0.96826172, 0.96484375) mean: 0.96816406, var: 0.00003160",,,Nucleus,Nucleus
,,,,,,"(0.72070312, 0.74365234, 0.68261719, 0.63720703, 0.65185547) mean: 0.68720703, var: 0.00161577",,,,,Membrane,Golgi apparatus
,"(0.56542969, 0.65917969, 0.43847656, 0.60888672, 0.58007812) mean: 0.57041016, var: 0.00537704",,,,,,,,,,Cytoplasm,Cytoplasm
,,,"(0.79980469, 0.47363281, 0.64257812, 0.79931641, 0.67382812) mean: 0.67783203, var: 0.01451840",,,,,,,,Extracellular,Cell membrane
,,,,,,,,"(0.79296875, 0.74609375, 0.66210938, 0.66552734, 0.67871094) mean: 0.70908203, var: 0.00268654",,,Nucleus,Nucleus
,"(0.72705078, 0.76318359, 0.70898438, 0.75146484, 0.70898438) mean: 0.73193359, var: 0.00048704",,,,,,,,,,Cytoplasm,"Cytoplasm, Cell membrane"
"(0.55126953, 0.75976562, 0.70361328, 0.77197266, 0.71875000) mean: 0.70107422, var: 0.00624632",,,,,,"(0.69726562, 0.89501953, 0.78369141, 0.71093750, 0.73388672) mean: 0.76416016, var: 0.00514593",,,,,"Membrane, Cell membrane",Cell membrane
,,,,,,,,"(0.78955078, 0.76025391, 0.80761719, 0.69384766, 0.77441406) mean: 0.76513672, var: 0.00151854",,,Nucleus,Nucleus
,"(0.61523438, 0.57714844, 0.58349609, 0.63574219, 0.54003906) mean: 0.59033203, var: 0.00108643",,,,,,,"(0.82519531, 0.83544922, 0.81347656, 0.81982422, 0.84228516) mean: 0.82724609, var: 0.00010847",,,"Cytoplasm, Nucleus",Nucleus
"(0.60937500, 0.57128906, 0.41625977, 0.56494141, 0.46289062) mean: 0.52495117, var: 0.00530783",,"(0.73486328, 0.65771484, 0.53662109, 0.78564453, 0.75390625) mean: 0.69375000, var: 0.00794834",,,,"(0.88769531, 0.91992188, 0.79931641, 0.93896484, 0.89208984) mean: 0.88759766, var: 0.00229944",,,,,"Membrane, Cell membrane, Endoplasmic reticulum",Nucleus
,"(0.72802734, 0.71972656, 0.66601562, 0.68652344, 0.65771484) mean: 0.69160156, var: 0.00078932",,,,,,,,,,Cytoplasm,Cytoplasm
,"(0.55859375, 0.57763672, 0.57177734, 0.57128906, 0.65576172) mean: 0.58701172, var: 0.00122026",,,,,,,"(0.49365234, 0.51611328, 0.56835938, 0.55957031, 0.55371094) mean: 0.53828125, var: 0.00081583",,,"Cytoplasm, Nucleus",Mitochondrion
,"(0.61035156, 0.69824219, 0.53564453, 0.41430664, 0.64941406) mean: 0.58159180, var: 0.00982595",,,,,"(0.41113281, 0.48193359, 0.48925781, 0.84814453, 0.41455078) mean: 0.52900390, var: 0.02652784",,,,,"Membrane, Cytoplasm",Cytoplasm
,"(0.47094727, 0.44238281, 0.52587891, 0.59814453, 0.43164062) mean: 0.49379883, var: 0.00378932",,,,,,,,,,Cytoplasm,Nucleus
,"(0.51806641, 0.63964844, 0.56689453, 0.58740234, 0.53271484) mean: 0.56894531, var: 0.00184902",,,,,,,"(0.51513672, 0.51513672, 0.54589844, 0.47924805, 0.65429688) mean: 0.54194336, var: 0.00360137",,,"Cytoplasm, Nucleus",Nucleus
,"(0.63330078, 0.61474609, 0.60009766, 0.72705078, 0.70800781) mean: 0.65664062, var: 0.00261864",,,,,,,,,,Cytoplasm,Nucleus
,,,,,,,,,,,nan,Cytoplasm
,"(0.65917969, 0.68212891, 0.60058594, 0.72070312, 0.54736328) mean: 0.64199219, var: 0.00375418",,,,,,,,,,Cytoplasm,"Cytoplasm, Nucleus"
"(0.62890625, 0.52148438, 0.66406250, 0.76806641, 0.52148438) mean: 0.62080078, var: 0.00867039",,,,,,"(0.63867188, 0.67187500, 0.69970703, 0.79150391, 0.64355469) mean: 0.68906250, var: 0.00310263",,,,,"Membrane, Cell membrane",Golgi apparatus
,"(0.65136719, 0.67822266, 0.72509766, 0.79882812, 0.78369141) mean: 0.72744141, var: 0.00329508",,,"(0.79296875, 0.60156250, 0.53710938, 0.67822266, 0.84228516) mean: 0.69042969, var: 0.01302557",,,,,,,"Cytoplasm, Golgi apparatus",Golgi apparatus
,,,,,,,,"(0.56396484, 0.49291992, 0.65820312, 0.58691406, 0.62548828) mean: 0.58549804, var: 0.00318433",,,Nucleus,Nucleus
,"(0.62841797, 0.69335938, 0.59472656, 0.66601562, 0.45556641) mean: 0.60761719, var: 0.00689608",,,,,,,,,,Cytoplasm,Cytoplasm
,,,"(0.75244141, 0.75439453, 0.86767578, 0.81689453, 0.91601562) mean: 0.82148437, var: 0.00407177",,,,,,,,Extracellular,Nucleus
,"(0.69091797, 0.71679688, 0.68408203, 0.70361328, 0.56689453) mean: 0.67246094, var: 0.00291122",,,,,,,"(0.69677734, 0.49169922, 0.53759766, 0.69433594, 0.40161133) mean: 0.56440430, var: 0.01338221",,,"Cytoplasm, Nucleus",Cytoplasm
,"(0.71337891, 0.82031250, 0.78271484, 0.86914062, 0.80517578) mean: 0.79814453, var: 0.00260092",,,,,,,,,,Cytoplasm,Nucleus
,"(0.77246094, 0.73339844, 0.73535156, 0.76953125, 0.75195312) mean: 0.75253906, var: 0.00026955",,,,,,,"(0.54443359, 0.65380859, 0.66210938, 0.63476562, 0.59179688) mean: 0.61738281, var: 0.00192114",,,"Cytoplasm, Nucleus","Cytoplasm, Cell membrane"
,"(0.58984375, 0.78955078, 0.65234375, 0.73339844, 0.85937500) mean: 0.72490234, var: 0.00916801",,,,,,,"(0.57128906, 0.51513672, 0.57080078, 0.64501953, 0.48876953) mean: 0.55820312, var: 0.00290855",,,"Cytoplasm, Nucleus",Cytoplasm
,"(0.62402344, 0.64062500, 0.71728516, 0.74804688, 0.71386719) mean: 0.68876953, var: 0.00229336",,,,,,,,,,Cytoplasm,Cytoplasm
,"(0.56835938, 0.62841797, 0.56542969, 0.58789062, 0.57080078) mean: 0.58417969, var: 0.00055033",,,,,,,"(0.69091797, 0.62939453, 0.77636719, 0.60058594, 0.76611328) mean: 0.69267578, var: 0.00497709",,,"Cytoplasm, Nucleus",Nucleus
,,,,,,,,"(0.81835938, 0.89160156, 0.80712891, 0.88134766, 0.86865234) mean: 0.85341797, var: 0.00116838",,,Nucleus,Nucleus
,,,,,,,,"(0.81396484, 0.80273438, 0.60107422, 0.88720703, 0.80712891) mean: 0.78242188, var: 0.00917698",,,Nucleus,"Cytoplasm, Nucleus"
,,,,,,,,"(0.86523438, 0.74560547, 0.84863281, 0.89160156, 0.89941406) mean: 0.85009766, var: 0.00306091",,,Nucleus,Nucleus
,"(0.58349609, 0.61425781, 0.44335938, 0.42675781, 0.54980469) mean: 0.52353516, var: 0.00566200",,,,,,,"(0.85791016, 0.76220703, 0.86083984, 0.84179688, 0.80566406) mean: 0.82568359, var: 0.00139284",,,"Cytoplasm, Nucleus",Nucleus
,"(0.58984375, 0.63867188, 0.65380859, 0.65771484, 0.65332031) mean: 0.63867187, var: 0.00063810",,,,,,,,,,Cytoplasm,Cell membrane
,,,,,,,,"(0.86718750, 0.89208984, 0.83984375, 0.88916016, 0.86181641) mean: 0.87001953, var: 0.00036787",,,Nucleus,Nucleus
,,,,,,,,"(0.84814453, 0.90576172, 0.92187500, 0.89843750, 0.92773438) mean: 0.90039063, var: 0.00079432",,,Nucleus,Nucleus
